
{'out_of_rail_time': 0.22233310763928749, 'out_of_rail_velocity': 47.426860258054624, 'max_velocity': 338.4260636736144, 'apogee_time': 20.77899821718709, 'apogee_altitude': 2736.213421110682, 'apogee_x': 4.446774295478842, 'apogee_y': -60.96632415127877, 'impact_time': 206.42324952180576, 'impact_x': 451.2555450821211, 'impact_y': 263.13298192361185, 'impact_velocity': -4.157170072133792, 'initial_static_margin': 1.4976460353071503, 'out_of_rail_static_margin': 1.5379843948173368, 'out_of_rail_stability_margin': 1.5439667395076662, 'final_static_margin': 1.8705569613561484, 'number_of_events': 2, 'execution_time': 7.375, 'drogue_triggerTime': 20.78, 'drogue_inflated_time': 20.78, 'drogue_inflated_velocity': 1.6910234140352436}
{'out_of_rail_time': 0.2002871101422517, 'out_of_rail_velocity': 52.84916561302126, 'max_velocity': 351.681347940622, 'apogee_time': 20.538700365668454, 'apogee_altitude': 2714.1083515651903, 'apogee_x': 115.20796034224745, 'apogee_y': -113.44192028020835, 'impact_time': 205.8576311128732, 'impact_x': 755.2236830470988, 'impact_y': 564.3387645450973, 'impact_velocity': -4.126135546445708, 'initial_static_margin': 1.5787277272152547, 'out_of_rail_static_margin': 1.6189430182788835, 'out_of_rail_stability_margin': 1.6263770312505503, 'final_static_margin': 1.9173857892089563, 'number_of_events': 2, 'execution_time': 6.875, 'drogue_triggerTime': 20.54, 'drogue_inflated_time': 20.54, 'drogue_inflated_velocity': 5.511340404423644}

{'out_of_rail_time': 0.19616548523792304, 'out_of_rail_velocity': 53.91616486865076, 'max_velocity': 349.4849578906718, 'apogee_time': 20.154934184704583, 'apogee_altitude': 2627.3825829543653, 'apogee_x': 165.86761725984633, 'apogee_y': -13.490047775562624, 'impact_time': 203.2275951844555, 'impact_x': 727.4174032086739, 'impact_y': 60.0616677376292, 'impact_velocity': -4.076879420023528, 'initial_static_margin': 1.528612606780477, 'out_of_rail_static_margin': 1.571305574139027, 'out_of_rail_stability_margin': 1.5793216055340948, 'final_static_margin': 1.8786745602435182, 'number_of_events': 2, 'execution_time': 7.953125, 'drogue_triggerTime': 20.16, 'drogue_inflated_time': 20.16, 'drogue_inflated_velocity': 6.5317043648633275}
{'out_of_rail_time': 0.22268344054916178, 'out_of_rail_velocity': 47.3794050094924, 'max_velocity': 331.18959596284645, 'apogee_time': 20.071000291852087, 'apogee_altitude': 2582.1609367237593, 'apogee_x': 36.28492481135397, 'apogee_y': -96.45850111256206, 'impact_time': 210.60277296377623, 'impact_x': 623.2189258709539, 'impact_y': 347.8937698427492, 'impact_velocity': -3.8986100867236306, 'initial_static_margin': 1.585502176718588, 'out_of_rail_static_margin': 1.623929302755539, 'out_of_rail_stability_margin': 1.6301561728194573, 'final_static_margin': 1.9419158199635196, 'number_of_events': 2, 'execution_time': 7.3125, 'drogue_triggerTime': 20.080000000000002, 'drogue_inflated_time': 20.080000000000002, 'drogue_inflated_velocity': 3.2824716663740805}
{'out_of_rail_time': 0.21408612590313345, 'out_of_rail_velocity': 49.33776429220187, 'max_velocity': 349.4558249777478, 'apogee_time': 21.234856978730793, 'apogee_altitude': 2856.1538477336867, 'apogee_x': -91.4456066143061, 'apogee_y': -83.66830342560142, 'impact_time': 203.87154845815348, 'impact_x': 371.2284710923401, 'impact_y': 315.30390333106436, 'impact_velocity': -4.298719458608168, 'initial_static_margin': 1.5092553017393104, 'out_of_rail_static_margin': 1.5493365560833676, 'out_of_rail_stability_margin': 1.5555127117914294, 'final_static_margin': 1.8695881389702815, 'number_of_events': 2, 'execution_time': 7.21875, 'drogue_triggerTime': 21.240000000000002, 'drogue_inflated_time': 21.240000000000002, 'drogue_inflated_velocity': 2.882244771426756}
{'out_of_rail_time': 0.20973633711396397, 'out_of_rail_velocity': 50.33749510533202, 'max_velocity': 343.25197941091517, 'apogee_time': 20.306279415601512, 'apogee_altitude': 2654.5271779456275, 'apogee_x': 65.55971411679654, 'apogee_y': -62.24614832454323, 'impact_time': 203.28534969632938, 'impact_x': 209.33713203814006, 'impact_y': 278.5138974437401, 'impact_velocity': -4.047856070393003, 'initial_static_margin': 1.5327915024862924, 'out_of_rail_static_margin': 1.5726357824224269, 'out_of_rail_stability_margin': 1.5794516321355117, 'final_static_margin': 1.8831191128062874, 'number_of_events': 2, 'execution_time': 5.46875, 'drogue_triggerTime': 20.31, 'drogue_inflated_time': 20.31, 'drogue_inflated_velocity': 2.793608488324292}
{'out_of_rail_time': 0.24000828903928859, 'out_of_rail_velocity': 43.89008504162001, 'max_velocity': 325.73898285545465, 'apogee_time': 20.765734852691697, 'apogee_altitude': 2703.5790846470422, 'apogee_x': 40.947085598239696, 'apogee_y': -135.6517079233086, 'impact_time': 214.72687029269383, 'impact_x': 502.8586991413953, 'impact_y': 450.4657811244433, 'impact_velocity': -3.9705467753431902, 'initial_static_margin': 1.6575823143433266, 'out_of_rail_static_margin': 1.6948796894018687, 'out_of_rail_stability_margin': 1.7001255146733742, 'final_static_margin': 2.0286133205189527, 'number_of_events': 2, 'execution_time': 6.953125, 'drogue_triggerTime': 20.77, 'drogue_inflated_time': 20.77, 'drogue_inflated_velocity': 4.03410263072634}

{'out_of_rail_time': 0.21348237528692748, 'out_of_rail_velocity': 49.48816410587716, 'max_velocity': 344.9468511679418, 'apogee_time': 20.719342443030435, 'apogee_altitude': 2738.530920990695, 'apogee_x': 149.38919377614047, 'apogee_y': -95.68516298868214, 'impact_time': 209.3258170450855, 'impact_x': 316.3677659410828, 'impact_y': 338.71019736262275, 'impact_velocity': -4.094446175006428, 'initial_static_margin': 1.5845781150742813, 'out_of_rail_static_margin': 1.6261015257301021, 'out_of_rail_stability_margin': 1.6323730258035076, 'final_static_margin': 1.9554124988106667, 'number_of_events': 2, 'execution_time': 7.421875, 'drogue_triggerTime': 20.72, 'drogue_inflated_time': 20.72, 'drogue_inflated_velocity': 5.664701242141096}
