   49.00,  20662.89,    -64.70,    -92.70,    325.00,     20.01
   48.80,  20687.77,    -64.50,    -92.50,  -9999.00,  -9999.00
   48.00,  20788.94,    -64.04,    -92.04,    315.00,     17.00
   46.40,  20996.45,    -63.10,    -91.10,  -9999.00,  -9999.00
   46.00,  21049.57,    -63.21,    -91.21,    335.00,     23.00
   45.00,  21184.42,    -63.50,    -91.50,    345.00,     22.01
   44.00,  21322.11,    -63.70,    -91.70,  -9999.00,  -9999.00
   43.00,  21463.83,    -63.30,    -91.44,      0.00,     14.01
   42.00,  21608.89,    -62.89,    -91.18,      5.00,     10.00
   41.00,  21757.44,    -62.46,    -90.90,     40.00,     13.00
   40.00,  21909.67,    -62.03,    -90.63,     15.00,      8.99
   39.00,  22065.74,    -61.59,    -90.34,    345.00,     10.00
   38.00,  22225.88,    -61.13,    -90.05,      0.00,     12.00
   37.50,  22307.53,    -60.90,    -89.90,  -9999.00,  -9999.00
   37.00,  22391.06,    -60.71,    -89.87,     30.00,     10.99
   36.00,  22561.57,    -60.31,    -89.80,     15.00,     20.01
   35.00,  22736.88,    -59.91,    -89.73,     25.00,     10.99
   34.50,  22826.43,    -59.70,    -89.70,  -9999.00,  -9999.00
   34.00,  22917.71,    -59.37,    -88.96,     10.00,     12.00
   33.30,  23047.78,    -58.90,    -87.90,  -9999.00,  -9999.00
   33.00,  23104.36,    -59.06,    -88.06,     20.00,     16.01
   32.00,  23296.76,    -59.59,    -88.59,     20.00,     13.00
   31.80,  23335.96,    -59.70,    -88.70,  -9999.00,  -9999.00
   31.00,  23495.12,    -59.49,    -88.49,      5.00,     15.00
   30.30,  23637.78,    -59.30,    -88.30,  -9999.00,  -9999.00
   30.00,  23700.00,    -59.30,    -88.30,      0.00,     17.00
   29.00,  23911.83,    -59.76,    -88.76,      5.00,     18.01
   28.70,  23976.80,    -59.90,    -88.90,  -9999.00,  -9999.00
   27.60,  24220.64,    -59.90,    -88.90,  -9999.00,  -9999.00
   27.00,  24357.72,    -60.02,    -89.02,     30.00,     22.01
   26.60,  24450.80,    -60.10,    -89.10,  -9999.00,  -9999.00
   26.00,  24594.29,    -59.26,    -88.70,     50.00,     17.00
   25.00,  24840.95,    -57.81,    -88.01,     45.00,     17.00
   24.00,  25097.69,    -56.30,    -87.30,     80.00,     13.00
   23.00,  25368.60,    -55.71,    -86.71,     45.00,     12.00
   22.00,  25651.54,    -55.09,    -86.09,     40.00,     22.01
   21.70,  25738.94,    -54.90,    -85.90,  -9999.00,  -9999.00
   21.20,  25887.73,    -55.10,    -85.10,  -9999.00,  -9999.00
   21.00,  25948.21,    -55.10,    -85.10,     35.00,     21.00
   20.90,  25978.66,    -55.10,    -85.10,  -9999.00,  -9999.00
   20.00,  26260.00,    -54.30,    -85.30,     30.00,     24.01
   19.00,  26590.54,    -52.98,    -84.64,     50.00,     16.01
   18.50,  26762.40,    -52.30,    -84.30,  -9999.00,  -9999.00
   17.00,  27311.52,    -51.27,    -83.27,     65.00,     24.01
   16.50,  27505.39,    -50.90,    -82.90,  -9999.00,  -9999.00
   16.10,  27665.26,    -50.90,    -82.90,  -9999.00,  -9999.00
   16.00,  27705.89,    -50.83,    -82.83,     45.00,     23.00
   15.50,  27912.91,    -50.50,    -82.50,  -9999.00,  -9999.00
   15.00,  28127.10,    -50.17,    -82.17,     45.00,     23.00
   14.90,  28170.79,    -50.10,    -82.10,  -9999.00,  -9999.00
   14.50,  28348.71,    -50.10,    -82.10,  -9999.00,  -9999.00
   14.30,  28439.47,    -50.30,    -82.30,  -9999.00,  -9999.00
   14.00,  28578.59,    -49.82,    -82.06,     65.00,     18.01
   13.10,  29014.58,    -48.30,    -81.30,  -9999.00,  -9999.00
   13.00,  29065.13,    -48.17,    -81.17,     40.00,     22.01
   12.80,  29167.40,    -47.90,    -80.90,  -9999.00,  -9999.00
   12.10,  29538.40,    -48.30,    -81.30,  -9999.00,  -9999.00
   12.00,  29593.12,    -48.27,    -81.10,     70.00,     18.01
   11.50,  29873.76,    -48.10,    -80.10,  -9999.00,  -9999.00
   11.00,  30165.17,    -48.99,    -80.67,     50.00,     21.00
   10.00,  30790.00,    -50.90,    -81.90,     45.00,     33.99
    9.70,  30988.02,    -51.50,    -82.50,  -9999.00,  -9999.00
    9.60,  31055.27,    -51.70,    -82.70,  -9999.00,  -9999.00
    9.00,  31481.65,    -49.67,    -81.66,     65.00,     25.00
    8.00,  32259.81,    -45.96,    -79.76,     40.00,     25.99
    7.40,  32774.88,    -43.50,    -78.50,  -9999.00,  -9999.00
    7.00,  33150.00,    -41.90,    -76.90,     75.00,     33.00
    6.80,  33346.41,    -41.50,    -76.50,  -9999.00,  -9999.00
    6.70,  33446.96,    -41.10,    -76.10,  -9999.00,  -9999.00
    6.50,  33652.57,    -41.70,    -75.70,  -9999.00,  -9999.00
